55001,Afton,Washington,
55003,Bayport,Washington,
55005,Bethel,Anoka,
55006,Braham,Isanti,
55007,Brook Park,Pine,
55008,Cambridge,Isanti,
55009,Cannon Falls,Goodhue,
55010,Castle Rock,Dakota,
55011,Cedar,Anoka,
55012,Center City,Chisago,
55013,Chisago City,Chisago,
55014,Circle Pines,Anoka,
55016,Cottage Grove,Washington,
55017,Dalbo,Isanti,
55018,Dennison,Goodhue,
55019,Dundas,Rice,
55020,Elko New Market,Scott,
55021,Faribault,Rice,
55024,Farmington,Dakota,
55025,Forest Lake,Washington,
55026,Frontenac,Goodhue,
55027,Goodhue,Goodhue,
55029,Grandy,Isanti,
55030,Grasston,Pine,
55031,Hampton,Dakota,
55032,Harris,Chisago,
55033,Hastings,Dakota,
55036,Henriette,Pine,
55037,Hinckley,Pine,
55038,Hugo,Washington,
55040,Isanti,Isanti,
55041,Lake City,Wabasha,
55042,Lake Elmo,Washington,
55043,Lakeland,Washington,
55044,Lakeville,Dakota,
55045,Lindstrom,Chisago,
55046,Lonsdale,Rice,
55047,Marine On Saint Croix,Washington,
55049,Medford,Steele,
55051,Mora,Kanabec,
55052,Morristown,Rice,
55053,Nerstrand,Rice,
55054,Elko New Market,Scott,
55055,Newport,Washington,
55056,North Branch,Chisago,
55057,Northfield,Rice,
55060,Owatonna,Steele,
55063,Pine City,Pine,
55065,Randolph,Dakota,
55066,Red Wing,Goodhue,
55067,Rock Creek,Pine,
55068,Rosemount,Dakota,
55069,Rush City,Chisago,
55070,Saint Francis,Anoka,
55071,Saint Paul Park,Washington,
55072,Sandstone,Pine,
55073,Scandia,Washington,
55074,Shafer,Chisago,
55075,South Saint Paul,Dakota,
55076,Inver Grove Heights,Dakota,
55077,Inver Grove Heights,Dakota,
55078,Stacy,Chisago,
55079,Stacy,Chisago,
55080,Stanchfield,Isanti,
55082,Stillwater,Washington,
55083,Stillwater,Washington,
55084,Taylors Falls,Chisago,
55085,Vermillion,Dakota,
55087,Warsaw,Rice,
55088,Webster,Rice,
55089,Welch,Goodhue,
55090,Willernie,Washington,
55092,Wyoming,Chisago,
55101,Saint Paul,Ramsey,
55102,Saint Paul,Ramsey,
55103,Saint Paul,Ramsey,
55104,Saint Paul,Ramsey,
55105,Saint Paul,Ramsey,
55106,Saint Paul,Ramsey,
55107,Saint Paul,Ramsey,
55108,Saint Paul,Ramsey,
55109,Saint Paul,Ramsey,
55110,Saint Paul,Ramsey,
55111,Saint Paul,Hennepin,
55112,Saint Paul,Ramsey,
55113,Saint Paul,Ramsey,
55114,Saint Paul,Ramsey,
55115,Saint Paul,Washington,
55116,Saint Paul,Ramsey,
55117,Saint Paul,Ramsey,
55118,Saint Paul,Dakota,
55119,Saint Paul,Ramsey,
55120,Saint Paul,Dakota,
55121,Saint Paul,Dakota,
55122,Saint Paul,Dakota,
55123,Saint Paul,Dakota,
55124,Saint Paul,Dakota,
55125,Saint Paul,Washington,
55126,Saint Paul,Ramsey,
55127,Saint Paul,Ramsey,
55128,Saint Paul,Washington,
55129,Saint Paul,Washington,
55130,Saint Paul,Ramsey,
55131,Saint Paul,Washington,
55133,Saint Paul,Ramsey,
55144,Saint Paul,Ramsey,
55145,Saint Paul,Ramsey,
55146,Saint Paul,Ramsey,
55150,Mendota,Dakota,
55155,Saint Paul,Ramsey,
55164,Saint Paul,Ramsey,
55165,Saint Paul,Ramsey,
55170,Saint Paul,Ramsey,
55175,Saint Paul,Ramsey,
55301,Albertville,Wright,
55302,Annandale,Wright,
55303,Anoka,Anoka,
55304,Andover,Anoka,
55305,Hopkins,Hennepin,
55306,Burnsville,Dakota,
55307,Arlington,Sibley,
55308,Becker,Sherburne,
55309,Big Lake,Sherburne,
55310,Bird Island,Renville,
55311,Maple Grove,Hennepin,
55312,Brownton,Mcleod,
55313,Buffalo,Wright,
55314,Buffalo Lake,Renville,
55315,Carver,Carver,
55316,Champlin,Hennepin,
55317,Chanhassen,Carver,
55318,Chaska,Carver,
55319,Clear Lake,Sherburne,
55320,Clearwater,Wright,
55321,Cokato,Wright,
55322,Cologne,Carver,
55323,Crystal Bay,Hennepin,
55324,Darwin,Meeker,
55325,Dassel,Meeker,
55327,Dayton,Hennepin,
55328,Delano,Wright,
55329,Eden Valley,Meeker,
55330,Elk River,Sherburne,
55331,Excelsior,Hennepin,
55332,Fairfax,Renville,
55333,Franklin,Renville,
55334,Gaylord,Sibley,
55335,Gibbon,Sibley,
55336,Glencoe,Mcleod,
55337,Burnsville,Dakota,
55338,Green Isle,Sibley,
55339,Hamburg,Carver,
55340,Hamel,Hennepin,
55341,Hanover,Wright,
55342,Hector,Renville,
55343,Hopkins,Hennepin,
55344,Eden Prairie,Hennepin,
55345,Minnetonka,Hennepin,
55346,Eden Prairie,Hennepin,
55347,Eden Prairie,Hennepin,
55349,Howard Lake,Wright,
55350,Hutchinson,Mcleod,
55352,Jordan,Scott,
55353,Kimball,Stearns,
55354,Lester Prairie,Mcleod,
55355,Litchfield,Meeker,
